project_name,project_link,version_name,commit,timestamp
Hive,https://github.com/apache/hive,release-2.0.1,"Commit(sha=""e3cfeebcefe9a19c5055afdcbb00646908340694"")",4/5/2016 4:02
Hive,https://github.com/apache/hive,release-2.0.0,"Commit(sha=""7f9f1fcb8697fb33f0edc2c391930a3728d247d7"")",10/2/2016 1:53
Hive,https://github.com/apache/hive,release-1.2.1,"Commit(sha=""243e7c1ac39cb7ac8b65c5bc6988f5cc3162f558"")",19/6/2015 8:49
Hive,https://github.com/apache/hive,release-1.2.0,"Commit(sha=""7f237de447bcd726bb3d0ba332cbb733f39fc02f"")",15/5/2015 0:59
Hive,https://github.com/apache/hive,release-1.1.1,"Commit(sha=""3e8d832a1a8e2b12029adcb55862cf040098ef0f"")",14/5/2015 22:09
Hive,https://github.com/apache/hive,release-1.1.0,"Commit(sha=""e60744d017ef79f1b17f474c0b969d4ca5592462"")",9/3/2015 2:37
Hive,https://github.com/apache/hive,release-1.0.1,"Commit(sha=""73b600dc79ba8a9a32078a2ea0eb8ae3df20c9d5"")",14/5/2015 21:54
Hive,https://github.com/apache/hive,release-1.0.0,"Commit(sha=""697aecadc3ba62bc11f3ba0a6c8522daeec7b53f"")",3/2/2015 20:35
Hive,https://github.com/apache/hive,release-0.14.0,"Commit(sha=""70eea944afaf5f64b8939b2b3a0d8fdd33a41c18"")",12/11/2014 20:35
Hive,https://github.com/apache/hive,release-0.13.1,"Commit(sha=""89bb2e8c34386b43efa37ecc6918a50c4bfb005f"")",5/6/2014 21:03
Hive,https://github.com/apache/hive,release-0.13.0,"Commit(sha=""d0fe5f1b3ac361f747b12f9137322367da73652f"")",19/4/2014 0:44
Hive,https://github.com/apache/hive,release-0.12.0,"Commit(sha=""b77a6caafbba087bea617e87b566b5b55ff102f6"")",14/10/2013 20:40
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.4,"Commit(sha=""113a0a672f277a6e8181757a0c54f92d42f98ef9"")",29/7/2021 11:08
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.3,"Commit(sha=""4430459a3fe06c6140aa40b71ddc41ddf8af968b"")",15/7/2021 8:06
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.2,"Commit(sha=""b0693d44048a9c50e750b6df69cfe83fcb21fd7e"")",2/7/2021 13:34
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.1,"Commit(sha=""073dfc26c7a065f5d5abf18be8cce8258a9aaa71"")",18/6/2021 13:50
Dbeaver,https://github.com/dbeaver/dbeaver,21.1.0,"Commit(sha=""17ce2d14317b1160ec9480da549028d1827e1277"")",28/5/2021 5:16
Dbeaver,https://github.com/dbeaver/dbeaver,21.0.5,"Commit(sha=""6176d108f6cea5e290f6913550f1c21563ea3d7c"")",14/5/2021 14:25
Dbeaver,https://github.com/dbeaver/dbeaver,21.0.4,"Commit(sha=""3193b6d4ad7a60c02c227ee7531e0a3d4a68cb06"")",2/5/2021 15:13
Dbeaver,https://github.com/dbeaver/dbeaver,21.0.3,"Commit(sha=""c5f672c865bdfacb6e243f0bf7821a691f700ca4"")",17/4/2021 15:22
Dbeaver,https://github.com/dbeaver/dbeaver,21.0.2,"Commit(sha=""cab215bccefba49956e7a1ec1878a810d151712b"")",4/4/2021 20:23
Dbeaver,https://github.com/dbeaver/dbeaver,21.0.1,"Commit(sha=""8cff034373319ebb496de5ca6dff7e5ba619aa7a"")",18/3/2021 10:44
Dbeaver,https://github.com/dbeaver/dbeaver,21.0.0,"Commit(sha=""d66ab71ec1d8b3c92bf6eca92f7c01b1ce3c0579"")",28/2/2021 8:19
Dbeaver,https://github.com/dbeaver/dbeaver,7.3.5,"Commit(sha=""ff65bc267ff4c7441cde1fbdc756c5c1aeb2dc4d"")",13/2/2021 14:39
Camel,https://github.com/apache/camel,camel-3.11.1,"Commit(sha=""18eaa8b9b8cc5795fcf6c886f3cf3931b9058ae8"")",1/8/2021 17:19
Camel,https://github.com/apache/camel,camel-3.11.0,"Commit(sha=""e102036b43100f4b82276013af0414e2008982c4"")",23/6/2021 10:33
Camel,https://github.com/apache/camel,camel-3.10.0,"Commit(sha=""545627aaf16cc13ce72c09e2e2b10d94f7bc8f98"")",15/5/2021 21:24
Camel,https://github.com/apache/camel,camel-3.9.0,"Commit(sha=""2fe5d10943c250b6d1431d7b1346498e505be303"")",22/3/2021 18:38
Camel,https://github.com/apache/camel,camel-3.8.0,"Commit(sha=""1541a742d1fa2633ee2251eeea72904f3447c8f5"")",9/2/2021 15:42
Camel,https://github.com/apache/camel,camel-3.7.5,"Commit(sha=""9cc895584aebabf8413f3b9598815a8ddd85657f"")",6/7/2021 10:07
Camel,https://github.com/apache/camel,camel-3.7.4,"Commit(sha=""f5cba202e7ec360594bec02cc0b783439d6994ca"")",28/4/2021 11:09
Camel,https://github.com/apache/camel,camel-3.7.3,"Commit(sha=""835cd243c525f28bf84c9945f9ca80bf7725705d"")",5/3/2021 12:52
Camel,https://github.com/apache/camel,camel-3.7.2,"Commit(sha=""d8b21a6a3557cd1e5822ddea88115521a53081a6"")",4/2/2021 12:38
Camel,https://github.com/apache/camel,camel-3.7.1,"Commit(sha=""3af6af224c3dbaf1970903c9932ca2165ef0b173"")",17/1/2021 12:16
Camel,https://github.com/apache/camel,camel-3.7.0,"Commit(sha=""996f224e95664deafa3a3e4345568e63ae3ba667"")",11/12/2020 12:10
Camel,https://github.com/apache/camel,camel-3.6.0,"Commit(sha=""29e1fe28ffabeccea29ad4246f10ba793f490150"")",15/10/2020 21:16
Redisson,https://github.com/redisson/redisson,redisson-parent-3.11.6,"Commit(sha=""db0bbcca0abd8d5eec57552a5d8729d858c99276"")",28/11/2019 10:08
Redisson,https://github.com/redisson/redisson,redisson-parent-3.0.1,"Commit(sha=""094f8a7c3ddcc9e2a88f3993bad8c2d31f30388c"")",27/10/2016 12:59
Redisson,https://github.com/redisson/redisson,redisson-parent-3.0.0,"Commit(sha=""179df9d730d00cd6ecfe7907f4b5c81b5d50c2d7"")",17/10/2016 10:37
Redisson,https://github.com/redisson/redisson,redisson-parent-2.5.1,"Commit(sha=""edad3c52bb816dd9a4384a4ebfef106ac00b761a"")",27/10/2016 12:27
Redisson,https://github.com/redisson/redisson,redisson-parent-2.5.0,"Commit(sha=""c7fa9dc988d50a784eb6b59e906e59965b9af7ba"")",17/10/2016 9:35
Redisson,https://github.com/redisson/redisson,redisson-parent-2.4.0,"Commit(sha=""dba6b56a31e55495fc81163a7f474b26b3e46f4d"")",27/9/2016 12:47
Redisson,https://github.com/redisson/redisson,redisson-parent-2.3.0,"Commit(sha=""651cd907fc2a2aff6e07af4613afc36ebb0110b2"")",24/8/2016 12:11
Redisson,https://github.com/redisson/redisson,redisson-parent-0.9.0,"Commit(sha=""b3d5f49a8d7ce8122529d5f8fa3aa2ad7522ef92"")",10/8/2016 7:51
Redisson,https://github.com/redisson/redisson,redisson-3.16.1,"Commit(sha=""08a06a7693a31bca7b66f396ba6555cbd9d63a49"")",26/7/2021 9:14
Redisson,https://github.com/redisson/redisson,redisson-3.16.0,"Commit(sha=""592e88966590e45f8b67cb34dccd41689a00c8cf"")",28/6/2021 8:29
Redisson,https://github.com/redisson/redisson,redisson-3.15.6,"Commit(sha=""ed52098cb4a2e5d854aeef703d90aa8a1186c156"")",7/6/2021 7:46
Redisson,https://github.com/redisson/redisson,redisson-3.15.5,"Commit(sha=""dd999217a18441ceb97df3cc1a76bc15da4c7fba"")",12/5/2021 9:51
Cxf,https://github.com/apache/cxf,cxf-3.4.4,"Commit(sha=""ae291a8edb1dc9321f664eb3fe75c7c7e352b66a"")",4/6/2021 17:38
Cxf,https://github.com/apache/cxf,cxf-3.4.3,"Commit(sha=""1a3950c164cabef352bc51c61f30612f05bc38f2"")",15/3/2021 19:51
